pos;name;pais1;pais2;num;edad;team_name
Mediocentro;Tika de Jonge;Países Bajos;;8;11/03/2003;fc_groningen
Mediocentro;Travis Hernes;Noruega;Jamaica;7;04/11/2005;fc_groningen
Mediocentro ofensivo;David van der Werff;Países Bajos;;17;31/08/2004;fc_groningen
Mediocentro ofensivo;Mats Seuntjens;Países Bajos;;20;17/04/1992;fc_groningen
Extremo izquierdo;Jorg Schreuders;Países Bajos;;14;09/09/2004;fc_groningen
Extremo derecho;Younes Taha;Marruecos;Países Bajos;10;27/11/2002;fc_groningen
Extremo derecho;Rui Mendes;Portugal;;27;10/11/1999;fc_groningen
Extremo derecho;Mark Hoekstra;Países Bajos;;69;10/02/2006;fc_groningen
Delantero centro;Thom van Bergen;Países Bajos;;26;06/01/2004;fc_groningen
Delantero centro;Brynjólfur Willumsson;Islandia;;9;12/08/2000;fc_groningen
Delantero centro;Oskar Zawada;Polonia;;19;01/02/1996;fc_groningen
Portero;Jari De Busser;Bélgica;;22;21/10/1999;go_ahead_eagles_deventer
Portero;Luca Plogmann;Alemania;;1;10/03/2000;go_ahead_eagles_deventer
Portero;Sven Jansen;Países Bajos;;30;23/10/2004;go_ahead_eagles_deventer
Portero;Nando Verdoni;Países Bajos;Italia;33;09/07/2003;go_ahead_eagles_deventer
Defensa central;Joris Kramer;Países Bajos;;4;02/08/1996;go_ahead_eagles_deventer
Defensa central;Gerrit Nauber;Alemania;;3;13/04/1992;go_ahead_eagles_deventer
Defensa central;Julius Dirksen;Países Bajos;;26;02/02/2003;go_ahead_eagles_deventer
Defensa central;Giovanni van Zwam;Países Bajos;;25;02/01/2004;go_ahead_eagles_deventer
Defensa central;Pim Saathof;Países Bajos;;28;28/12/2003;go_ahead_eagles_deventer
Lateral izquierdo;Dean James;Indonesia;Países Bajos;5;30/04/2000;go_ahead_eagles_deventer
Lateral izquierdo;Aske Adelgaard;Dinamarca;;29;10/11/2003;go_ahead_eagles_deventer
Lateral derecho;Alfons Sampsted;Islandia;;2;06/04/1998;go_ahead_eagles_deventer
Lateral derecho;Eus Waayers;Países Bajos;;20;08/04/2006;go_ahead_eagles_deventer
Pivote;Melle Meulensteen;Países Bajos;Inglaterra;21;04/07/1999;go_ahead_eagles_deventer
Mediocentro;Evert Linthorst;Países Bajos;;8;03/03/2000;go_ahead_eagles_deventer
Mediocentro;Kenzo Goudmijn;Países Bajos;Surinam;24;18/12/2001;go_ahead_eagles_deventer
Mediocentro;Yassir Salah Rahmouni;Países Bajos;Marruecos;34;13/06/2006;go_ahead_eagles_deventer
Mediocentro;Robbin Weijenberg;Países Bajos;;15;08/11/2004;go_ahead_eagles_deventer
Mediocentro ofensivo;Jakob Breum;Dinamarca;;7;17/11/2003;go_ahead_eagles_deventer
Mediocentro ofensivo;Søren Tengstedt;Dinamarca;;10;30/06/2000;go_ahead_eagles_deventer
Extremo izquierdo;Mathis Suray;Bélgica;;17;26/07/2001;go_ahead_eagles_deventer
Extremo izquierdo;Oskar Sivertsen;Noruega;;11;15/02/2004;go_ahead_eagles_deventer
Extremo derecho;Jaden Slory;Países Bajos;Surinam;19;09/05/2005;go_ahead_eagles_deventer
Delantero centro;Stefán Ingi Sigurdarson;Islandia;;9;27/01/2001;go_ahead_eagles_deventer
Delantero centro;Victor Edvardsen;Suecia;;16;14/01/1996;go_ahead_eagles_deventer
Delantero centro;Richonell Margaret;Surinam;Países Bajos;18;07/09/2000;go_ahead_eagles_deventer
Delantero centro;Thibo Baeten;Bélgica;;23;04/06/2002;go_ahead_eagles_deventer
Delantero centro;Finn Stokkers;Países Bajos;;27;18/04/1996;go_ahead_eagles_deventer
Delantero centro;Ofosu Boakye;Ghana;Países Bajos;32;10/07/2007;go_ahead_eagles_deventer
Portero;Joël Drommel;Países Bajos;;-;16/11/1996;sparta_rotterdam
Portero;Filip Bednarek;Polonia;;-;26/09/1992;sparta_rotterdam
Portero;Pascal Kuiper;Países Bajos;;-;17/03/2004;sparta_rotterdam
Defensa central;Marvin Young;Países Bajos;Surinam;-;02/10/2005;sparta_rotterdam
Defensa central;Teo Quintero;Venezuela;España;-;02/03/1999;sparta_rotterdam
Defensa central;Bruno Martins Indi;Países Bajos;Portugal;-;08/02/1992;sparta_rotterdam
Defensa central;Max de Ligt;Países Bajos;;-;20/07/2004;sparta_rotterdam
Lateral izquierdo;Patrick van Aanholt;Países Bajos;Curazao;-;29/08/1990;sparta_rotterdam
Lateral izquierdo;Mike Kleijn;Países Bajos;;-;09/02/2005;sparta_rotterdam
Lateral izquierdo;Giannino Vianello;Países Bajos;Italia;-;10/06/2007;sparta_rotterdam
Lateral derecho;Shurandy Sambo;Curazao;Países Bajos;-;19/08/2001;sparta_rotterdam
Lateral derecho;Lushendry Martes;Países Bajos;Curazao;-;06/05/2008;sparta_rotterdam
Lateral derecho;Saïd Bakari;Comoras;Francia;-;22/09/1994;sparta_rotterdam
Pivote;Joshua Kitolano;Noruega;;-;03/08/2001;sparta_rotterdam
Mediocentro;Alwande Roaldsøy;Noruega;Sudáfrica;-;09/06/2004;sparta_rotterdam
Mediocentro;Julian Baas;Países Bajos;;-;16/04/2002;sparta_rotterdam
Mediocentro;Pelle Clement;Países Bajos;;-;19/05/1996;sparta_rotterdam
Mediocentro;Jonathan de Guzmán;Países Bajos;Canadá;-;13/09/1987;sparta_rotterdam
Mediocentro ofensivo;Ayoni Santos;Cabo Verde;Países Bajos;-;18/07/2005;sparta_rotterdam
Mediocentro ofensivo;Vito van Crooij;Países Bajos;;-;29/01/1996;sparta_rotterdam
